Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190645:2486,10:10,HLT_Photon150_v1,L1_SingleEG30,1,1,5039.59820265,5039.59820265
190645:2486,11:11,HLT_Photon150_v1,L1_SingleEG30,1,1,4745.40820325,4745.40820325
190645:2486,12:12,HLT_Photon150_v1,L1_SingleEG30,1,1,5706.82481886,5706.82481886
190645:2486,13:13,HLT_Photon150_v1,L1_SingleEG30,1,1,5730.80268339,5730.80268339
190645:2486,14:14,HLT_Photon150_v1,L1_SingleEG30,1,1,5721.47754005,5721.47754005
190645:2486,15:15,HLT_Photon150_v1,L1_SingleEG30,1,1,5733.28045861,5733.28045861
190645:2486,16:16,HLT_Photon150_v1,L1_SingleEG30,1,1,5713.9375974,5713.9375974
190645:2486,17:17,HLT_Photon150_v1,L1_SingleEG30,1,1,5460.77290022,5460.77290022
190645:2486,18:18,HLT_Photon150_v1,L1_SingleEG30,1,1,5710.47854135,5710.47854135
190645:2486,19:19,HLT_Photon150_v1,L1_SingleEG30,1,1,5711.0093934,5711.0093934
190645:2486,20:20,HLT_Photon150_v1,L1_SingleEG30,1,1,5241.33273834,5241.33273834
190645:2486,21:21,HLT_Photon150_v1,L1_SingleEG30,1,1,5676.53116039,5676.53116039
190645:2486,22:22,HLT_Photon150_v1,L1_SingleEG30,1,1,5681.16431519,5681.16431519
190645:2486,23:23,HLT_Photon150_v1,L1_SingleEG30,1,1,5695.5760027,5695.5760027
190645:2486,24:24,HLT_Photon150_v1,L1_SingleEG30,1,1,5679.9626133,5679.9626133
190645:2486,25:25,HLT_Photon150_v1,L1_SingleEG30,1,1,5694.74058763,5694.74058763
190645:2486,26:26,HLT_Photon150_v1,L1_SingleEG30,1,1,5690.28488166,5690.28488166
190645:2486,27:27,HLT_Photon150_v1,L1_SingleEG30,1,1,5413.63482482,5413.63482482
190645:2486,28:28,HLT_Photon150_v1,L1_SingleEG30,1,1,5682.24828316,5682.24828316
190645:2486,29:29,HLT_Photon150_v1,L1_SingleEG30,1,1,5370.53327424,5370.53327424
190645:2486,30:30,HLT_Photon150_v1,L1_SingleEG30,1,1,5657.13258898,5657.13258898
190645:2486,31:31,HLT_Photon150_v1,L1_SingleEG30,1,1,5424.06484578,5424.06484578
190645:2486,32:32,HLT_Photon150_v1,L1_SingleEG30,1,1,4985.2807956,4985.2807956
190645:2486,33:33,HLT_Photon150_v1,L1_SingleEG30,1,1,4931.24208064,4931.24208064
190645:2486,34:34,HLT_Photon150_v1,L1_SingleEG30,1,1,5649.74868534,5649.74868534
190645:2486,35:35,HLT_Photon150_v1,L1_SingleEG30,1,1,5118.8316171,5118.8316171
190645:2486,36:36,HLT_Photon150_v1,L1_SingleEG30,1,1,5649.82113519,5649.82113519
190645:2486,37:37,HLT_Photon150_v1,L1_SingleEG30,1,1,5630.3300125,5630.3300125
190645:2486,38:38,HLT_Photon150_v1,L1_SingleEG30,1,1,5632.4434236,5632.4434236
190645:2486,39:39,HLT_Photon150_v1,L1_SingleEG30,1,1,5079.80979938,5079.80979938
190645:2486,40:40,HLT_Photon150_v1,L1_SingleEG30,1,1,5641.45696005,5641.45696005
190645:2486,41:41,HLT_Photon150_v1,L1_SingleEG30,1,1,5634.43531202,5634.43531202
190645:2486,42:42,HLT_Photon150_v1,L1_SingleEG30,1,1,5629.11641451,5629.11641451
190645:2486,43:43,HLT_Photon150_v1,L1_SingleEG30,1,1,5626.78157648,5626.78157648
190645:2486,44:44,HLT_Photon150_v1,L1_SingleEG30,1,1,5620.69336486,5620.69336486
190645:2486,45:45,HLT_Photon150_v1,L1_SingleEG30,1,1,5616.18359074,5616.18359074
190645:2486,46:46,HLT_Photon150_v1,L1_SingleEG30,1,1,5610.45518515,5610.45518515
190645:2486,47:47,HLT_Photon150_v1,L1_SingleEG30,1,1,5534.16883133,5534.16883133
190645:2486,48:48,HLT_Photon150_v1,L1_SingleEG30,1,1,5597.95176533,5597.95176533
190645:2486,49:49,HLT_Photon150_v1,L1_SingleEG30,1,1,5627.32032364,5627.32032364
190645:2486,50:50,HLT_Photon150_v1,L1_SingleEG30,1,1,5613.77106067,5613.77106067
190645:2486,51:51,HLT_Photon150_v1,L1_SingleEG30,1,1,5608.35175772,5608.35175772
190645:2486,52:52,HLT_Photon150_v1,L1_SingleEG30,1,1,5594.36274337,5594.36274337
190645:2486,53:53,HLT_Photon150_v1,L1_SingleEG30,1,1,5600.93465758,5600.93465758
190645:2486,54:54,HLT_Photon150_v1,L1_SingleEG30,1,1,5598.94527172,5598.94527172
190645:2486,55:55,HLT_Photon150_v1,L1_SingleEG30,1,1,5610.06619608,5610.06619608
190645:2486,56:56,HLT_Photon150_v1,L1_SingleEG30,1,1,5457.25586001,5457.25586001
190645:2486,57:57,HLT_Photon150_v1,L1_SingleEG30,1,1,5601.23854301,5601.23854301
190645:2486,58:58,HLT_Photon150_v1,L1_SingleEG30,1,1,5597.92366239,5597.92366239
190645:2486,59:59,HLT_Photon150_v1,L1_SingleEG30,1,1,5583.4072792,5583.4072792
190645:2486,60:60,HLT_Photon150_v1,L1_SingleEG30,1,1,5592.38791094,5592.38791094
190645:2486,61:61,HLT_Photon150_v1,L1_SingleEG30,1,1,4889.24033561,4889.24033561
190645:2486,62:62,HLT_Photon150_v1,L1_SingleEG30,1,1,4997.95354321,4997.95354321
190645:2486,63:63,HLT_Photon150_v1,L1_SingleEG30,1,1,5049.58496187,5049.58496187
190645:2486,64:64,HLT_Photon150_v1,L1_SingleEG30,1,1,5472.62331649,5472.62331649
190645:2486,65:65,HLT_Photon150_v1,L1_SingleEG30,1,1,5572.8100967,5572.8100967
190645:2486,66:66,HLT_Photon150_v1,L1_SingleEG30,1,1,5568.92811826,5568.92811826
190645:2486,67:67,HLT_Photon150_v1,L1_SingleEG30,1,1,5555.34078262,5555.34078262
190645:2486,68:68,HLT_Photon150_v1,L1_SingleEG30,1,1,5564.03193599,5564.03193599
190645:2486,69:69,HLT_Photon150_v1,L1_SingleEG30,1,1,5562.28046021,5562.28046021
190645:2486,70:70,HLT_Photon150_v1,L1_SingleEG30,1,1,5545.07137251,5545.07137251
190645:2486,71:71,HLT_Photon150_v1,L1_SingleEG30,1,1,5551.68036124,5551.68036124
190645:2486,72:72,HLT_Photon150_v1,L1_SingleEG30,1,1,4975.38335877,4975.38335877
190645:2486,73:73,HLT_Photon150_v1,L1_SingleEG30,1,1,5547.16602659,5547.16602659
190645:2486,74:74,HLT_Photon150_v1,L1_SingleEG30,1,1,5533.08644389,5533.08644389
190645:2486,75:75,HLT_Photon150_v1,L1_SingleEG30,1,1,5517.23226247,5517.23226247
190645:2486,76:76,HLT_Photon150_v1,L1_SingleEG30,1,1,5539.48558915,5539.48558915
190645:2486,77:77,HLT_Photon150_v1,L1_SingleEG30,1,1,5541.64979282,5541.64979282
190645:2486,78:78,HLT_Photon150_v1,L1_SingleEG30,1,1,5522.82901983,5522.82901983
190645:2486,79:79,HLT_Photon150_v1,L1_SingleEG30,1,1,4989.92456905,4989.92456905
190645:2486,80:80,HLT_Photon150_v1,L1_SingleEG30,1,1,5525.65618243,5525.65618243
190645:2486,81:81,HLT_Photon150_v1,L1_SingleEG30,1,1,5521.61425212,5521.61425212
190645:2486,82:82,HLT_Photon150_v1,L1_SingleEG30,1,1,5520.22925172,5520.22925172
190645:2486,83:83,HLT_Photon150_v1,L1_SingleEG30,1,1,5521.54698813,5521.54698813
190645:2486,84:84,HLT_Photon150_v1,L1_SingleEG30,1,1,5509.46022876,5509.46022876
190645:2486,85:85,HLT_Photon150_v1,L1_SingleEG30,1,1,5514.84092356,5514.84092356
190645:2486,86:86,HLT_Photon150_v1,L1_SingleEG30,1,1,4963.69751918,4963.69751918
190645:2486,87:87,HLT_Photon150_v1,L1_SingleEG30,1,1,5497.76042142,5497.76042142
