Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190645:2486,10:10,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5039.59820265,503.959820265
190645:2486,11:11,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4745.40820325,474.540820325
190645:2486,12:12,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5706.82481886,570.682481886
190645:2486,13:13,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5730.80268339,573.080268339
190645:2486,14:14,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5721.47754005,572.147754005
190645:2486,15:15,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5733.28045861,573.328045861
190645:2486,16:16,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5713.9375974,571.39375974
190645:2486,17:17,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5460.77290022,546.077290022
190645:2486,18:18,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5710.47854135,571.047854135
190645:2486,19:19,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5711.0093934,571.10093934
190645:2486,20:20,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5241.33273834,524.133273834
190645:2486,21:21,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5676.53116039,567.653116039
190645:2486,22:22,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5681.16431519,568.116431519
190645:2486,23:23,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5695.5760027,569.55760027
190645:2486,24:24,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5679.9626133,567.99626133
190645:2486,25:25,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5694.74058763,569.474058763
190645:2486,26:26,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5690.28488166,569.028488166
190645:2486,27:27,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5413.63482482,541.363482482
190645:2486,28:28,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5682.24828316,568.224828316
190645:2486,29:29,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5370.53327424,537.053327424
190645:2486,30:30,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5657.13258898,565.713258898
190645:2486,31:31,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5424.06484578,542.406484578
190645:2486,32:32,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4985.2807956,498.52807956
190645:2486,33:33,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4931.24208064,493.124208064
190645:2486,34:34,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5649.74868534,564.974868534
190645:2486,35:35,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5118.8316171,511.88316171
190645:2486,36:36,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5649.82113519,564.982113519
190645:2486,37:37,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5630.3300125,563.03300125
190645:2486,38:38,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5632.4434236,563.24434236
190645:2486,39:39,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5079.80979938,507.980979938
190645:2486,40:40,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5641.45696005,564.145696005
190645:2486,41:41,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5634.43531202,563.443531202
190645:2486,42:42,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5629.11641451,562.911641451
190645:2486,43:43,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5626.78157648,562.678157648
190645:2486,44:44,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5620.69336486,562.069336486
190645:2486,45:45,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5616.18359074,561.618359074
190645:2486,46:46,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5610.45518515,561.045518515
190645:2486,47:47,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5534.16883133,553.416883133
190645:2486,48:48,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5597.95176533,559.795176533
190645:2486,49:49,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5627.32032364,562.732032364
190645:2486,50:50,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5613.77106067,561.377106067
190645:2486,51:51,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5608.35175772,560.835175772
190645:2486,52:52,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5594.36274337,559.436274337
190645:2486,53:53,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5600.93465758,560.093465758
190645:2486,54:54,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5598.94527172,559.894527172
190645:2486,55:55,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5610.06619608,561.006619608
190645:2486,56:56,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5457.25586001,545.725586001
190645:2486,57:57,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5601.23854301,560.123854301
190645:2486,58:58,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5597.92366239,559.792366239
190645:2486,59:59,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5583.4072792,558.34072792
190645:2486,60:60,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5592.38791094,559.238791094
190645:2486,61:61,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4889.24033561,488.924033561
190645:2486,62:62,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4997.95354321,499.795354321
190645:2486,63:63,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5049.58496187,504.958496187
190645:2486,64:64,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5472.62331649,547.262331649
190645:2486,65:65,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5572.8100967,557.28100967
190645:2486,66:66,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5568.92811826,556.892811826
190645:2486,67:67,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5555.34078262,555.534078262
190645:2486,68:68,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5564.03193599,556.403193599
190645:2486,69:69,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5562.28046021,556.228046021
190645:2486,70:70,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5545.07137251,554.507137251
190645:2486,71:71,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5551.68036124,555.168036124
190645:2486,72:72,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4975.38335877,497.538335877
190645:2486,73:73,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5547.16602659,554.716602659
190645:2486,74:74,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5533.08644389,553.308644389
190645:2486,75:75,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5517.23226247,551.723226247
190645:2486,76:76,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5539.48558915,553.948558915
190645:2486,77:77,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5541.64979282,554.164979282
190645:2486,78:78,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5522.82901983,552.282901983
190645:2486,79:79,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4989.92456905,498.992456905
190645:2486,80:80,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5525.65618243,552.565618243
190645:2486,81:81,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5521.61425212,552.161425212
190645:2486,82:82,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5520.22925172,552.022925172
190645:2486,83:83,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5521.54698813,552.154698813
190645:2486,84:84,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5509.46022876,550.946022876
190645:2486,85:85,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5514.84092356,551.484092356
190645:2486,86:86,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4963.69751918,496.369751918
190645:2486,87:87,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5497.76042142,549.776042142
190645:2486,88:88,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5515.0495941,551.50495941
190645:2486,89:89,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5066.79615255,506.679615255
190645:2486,90:90,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5495.5675099,549.55675099
190645:2486,91:91,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5504.40690378,550.440690378
190645:2486,92:92,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5491.30514102,549.130514102
190645:2486,93:93,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5498.96218568,549.896218568
190645:2486,94:94,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5493.30748046,549.330748046
190645:2486,95:95,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5483.16746488,548.316746488
190645:2486,96:96,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5474.27183943,547.427183943
190645:2486,97:97,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5476.12789686,547.612789686
190645:2486,98:98,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5482.1212805,548.21212805
190645:2486,99:99,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4772.02694926,477.202694926
190645:2486,100:100,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5478.6594213,547.86594213
190645:2486,101:101,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5447.65387357,544.765387357
190645:2486,102:102,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5471.20389441,547.120389441
190645:2486,103:103,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5364.86143491,536.486143491
190645:2486,104:104,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5466.72464518,546.672464518
190645:2486,105:105,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5458.87250254,545.887250254
190645:2486,106:106,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5439.79847413,543.979847413
190645:2486,107:107,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5452.10382991,545.210382991
190645:2486,108:108,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5452.65254081,545.265254081
190645:2486,109:109,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5394.09309977,539.409309977
190645:2486,110:110,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,3133.52565588,313.352565588
190646:2486,1:1,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4324.13612052,432.413612052
190646:2486,2:2,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,36.0561718788,3.60561718788
